date,SMB,HML,RMW,CMA,RF
201010,0.8,-2.42,1.19,-0.27,0.01
201011,3.67,-0.96,0.46,1.59,0.01
201012,1.04,3.69,-3.44,3.17,0.01
201101,-2.43,0.82,-0.76,0.83,0.01
201102,1.65,1.27,-1.94,0.88,0.01
201103,2.62,-1.83,1.76,-0.03,0.01
201104,-0.55,-2.43,1.01,-0.8,0
201105,-0.62,-2.12,2.08,-1.58,0
201106,0.16,-0.42,2.49,-1.53,0
201107,-1.2,-0.89,2.68,-1.81,0
201108,-3.2,-2.36,3.3,-0.38,0.01
201109,-3.66,-1.73,2.04,0.25,0
201110,3.46,0.11,-2.16,-0.86,0
201111,-0.28,-0.45,1.86,1.49,0
201112,-0.33,1.63,0.98,2.52,0
201201,2.06,-0.97,-2.01,-1.44,0
201202,-1.71,0.43,-0.48,-0.01,0
201203,-0.47,1.14,-0.54,0.74,0
201204,-0.55,-0.78,1.3,0.65,0
201205,-0.12,-1.07,2.08,2.31,0.01
201206,0.84,0.62,-1.1,0.46,0
201207,-2.78,-0.02,1.1,0.05,0
201208,0.44,1.3,-1.33,-0.84,0.01
201209,0.61,1.6,-1.49,1.54,0.01
201210,-0.89,3.59,-1.34,2.5,0.01
201211,0.46,-0.84,0.61,0.85,0.01
201212,1.89,3.51,-1.85,0.91,0.01
201301,0.48,0.96,-1.93,1.41,0
201302,-0.25,0.11,-0.67,0.52,0
201303,0.85,-0.19,0.13,1.38,0
201304,-2.25,0.45,0.27,0.38,0
201305,2.06,2.63,-1.97,-0.87,0
201306,1.56,0.03,-0.37,0,0
201307,1.81,0.57,-1.35,0.5,0
201308,-0.06,-2.69,0.66,-2.16,0
201309,2.63,-1.22,-0.57,-1.35,0
201310,-1.48,1.25,2.77,0.87,0
201311,1.41,0.32,0.14,0.04,0
201312,-0.45,-0.02,-0.45,0.1,0
201401,0.58,-2.07,-3.87,-1.43,0
201402,0.13,-0.31,-0.21,-0.44,0
201403,-1.08,4.93,2.13,1.92,0
201404,-4.11,1.17,3.47,1,0
201405,-1.89,-0.13,0.06,-1,0
201406,3.1,-0.7,-1.88,-2,0
201407,-4.3,0.04,0.9,0.53,0
201408,0.31,-0.45,-0.64,-0.69,0
201409,-3.71,-1.35,1.29,-0.52,0
201410,3.73,-1.8,-0.56,-0.1,0
201411,-2.28,-3.1,1.5,0.26,0
201412,2.86,2.27,-1.22,0.96,0
201501,-0.92,-3.59,1.61,-1.65,0
201502,0.32,-1.86,-1.12,-1.82,0
201503,3.07,-0.38,0.09,-0.52,0
201504,-3.09,1.82,0.06,-0.61,0
201505,0.84,-1.15,-1.8,-0.75,0
201506,2.9,-0.79,0.44,-1.58,0
201507,-4.55,-4.13,0.3,-2.42,0
201508,0.25,2.77,0.68,1.19,0
201509,-2.79,0.56,1.77,-0.58,0
201510,-2.08,-0.46,0.9,0.53,0
201511,3.3,-0.42,-2.74,-1,0
201512,-3,-2.61,0.5,-0.01,0.01
201601,-3.47,2.09,2.81,3.07,0.01
201602,0.88,-0.57,3.25,2.02,0.02
201603,1.07,1.19,0.77,-0.08,0.02
201604,1.23,3.28,-2.97,1.9,0.01
201605,-0.61,-1.66,-1.09,-2.49,0.01
201606,0.45,-1.48,1.41,1.94,0.02
201607,2.48,-1.32,1.25,-1.18,0.02
201608,1.69,3.18,-1.85,-0.34,0.02
201609,1.86,-1.24,-2.21,0.02,0.02
201610,-4.03,4.09,0.93,0.27,0.02
201611,7.07,8.21,-0.18,3.69,0.01
201612,0.41,3.53,1.22,-0.24,0.03
201701,-1.45,-2.75,-0.5,-0.99,0.04
201702,-2.22,-1.67,0.47,-1.83,0.04
201703,0.74,-3.35,0.61,-0.94,0.03
201704,0.48,-2.13,1.9,-1.6,0.05
201705,-3.06,-3.78,0.95,-1.79,0.06
201706,2.58,1.48,-2.22,0,0.06
201707,-1.69,-0.31,-0.67,-0.2,0.07
201708,-1.83,-2.1,0.15,-2.38,0.09
201709,4.77,3.12,-1.5,1.71,0.09
201710,-1.94,0.19,0.91,-3.26,0.09
201711,-0.32,-0.03,3.19,-0.06,0.08
201712,-1.06,0.06,0.75,1.7,0.09
201801,-3.17,-1.28,-0.75,-0.91,0.12
201802,0.32,-1.04,0.48,-2.28,0.11
201803,3.6,-0.2,-0.42,-0.02,0.11
201804,0.93,0.54,-2.44,1.28,0.14
201805,4.75,-3.22,-2.05,-1.53,0.14
201806,0.8,-2.33,0.8,0.2,0.14
201807,-1.93,0.45,1.55,0.35,0.16
201808,0.65,-4,-0.31,-2.7,0.16
201809,-2.49,-1.71,0.63,1.29,0.15
201810,-4.45,3.4,0.95,3.58,0.19
201811,-0.77,0.28,-0.55,0.39,0.18
201812,-2.88,-1.88,-0.03,0.21,0.2
201901,3.01,-0.45,-0.78,-1.52,0.21
201902,1.75,-2.71,0.12,-1.6,0.18
201903,-3.51,-4.12,0.91,-0.94,0.19
201904,-1.15,2.16,1.59,-2.22,0.21
201905,-1.59,-2.37,-0.46,1.77,0.21
201906,0.37,-0.7,0.9,-0.44,0.18
201907,-1.78,0.47,-0.07,0.34,0.19
201908,-3.24,-4.79,0.56,-0.68,0.16
201909,0.26,6.77,1.84,3.39,0.18
201910,0.27,-1.9,0.43,-0.95,0.16
201911,0.45,-1.99,-1.63,-1.25,0.12
201912,0.97,1.78,-0.02,1.23,0.14
202001,-4.4,-6.25,-1.2,-2.3,0.13
202002,0.04,-3.8,-1.49,-2.52,0.12
202003,-8.24,-13.88,-1.56,1.26,0.13
202004,2.56,-1.34,2.73,-1.03,0
202005,1.99,-4.85,0.93,-3.24,0.01
202006,1.97,-2.23,0.13,0.53,0.01
202007,-3.18,-1.44,0.4,1.03,0.01
202008,-0.95,-2.88,4.33,-1.26,0.01
202009,-0.05,-2.65,-1.28,-1.96,0.01
202010,4.54,4.31,-0.76,-0.88,0.01
202011,7.05,2.15,-2.22,1.28,0.01
202012,4.7,-1.34,-1.88,-0.26,0.01
202101,7.08,2.85,-3.92,5.18,0.01
202102,4.56,7.1,0.39,-1.95,0
202103,-0.78,7.27,6.34,3.57,0
202104,-3.16,-0.95,2.47,-2.71,0
202105,1.2,7.13,2.4,3.02,0
202106,-0.41,-7.75,-2.04,-1.02,0
202107,-4.59,-1.81,5.48,-0.52,0
202108,-0.71,-0.1,-0.22,-1.82,0
202109,1.09,5.1,-1.95,2.09,0
202110,-2.72,-0.45,1.72,-1.44,0
202111,-1.77,-0.41,7.27,1.74,0
202112,-0.79,3.22,4.83,4.32,0.01
202201,-4.09,12.8,0.84,7.74,0
202202,2.92,3.1,-2.1,3.16,0
202203,-2.2,-1.76,-1.5,3.18,0.01
202204,-0.4,6.17,3.47,5.87,0.01
202205,-0.16,8.59,1.7,3.99,0.03
202206,1.36,-6.1,1.74,-4.72,0.06
202207,1.83,-4.03,0.85,-6.82,0.08
202208,1.52,0.29,-4.79,1.33,0.19
202209,-1.04,0.02,-1.46,-0.79,0.19
202210,1.88,8.06,3.31,6.62,0.23
202211,-2.75,1.41,6.32,3.2,0.29
202212,-0.14,1.34,0.27,4.21,0.33
202301,4.42,-4,-2.42,-4.44,0.35
202302,0.66,-0.83,1.03,-1.32,0.34
